84	45783
83	28147
64	43426
61	56387
60	32354
59	18519
54	42133
52	29278
52	14236
50	15267
49	48783
49	35893
48	42269
46	7975
45	1817
44	11906
44	39945
43	1580
43	73378
41	23907
40	28236
39	40434
38	51853
37	16451
37	23946
37	25653
37	25991
35	1455
35	6277
35	20426
35	39958
34	12710
34	17683
33	24725
33	16357
33	25483
32	8885
32	24518
32	9382
31	1461
31	30129
30	15386
29	27402
29	2406
29	13952
29	15968
29	12205
29	30843
28	4326
28	2931
28	10510
27	31087
27	21029
26	13098
26	25708
26	9159
26	1674
26	49913
26	2022
26	28294
26	9223
25	4361
25	11159
25	2944
25	17312
25	2336
25	21927
24	26947
24	14946
24	24598
24	32603
24	1933
24	27479
24	2178
23	1552
23	33347
23	17286
23	15170
23	2342
23	11878
23	2124
23	30748
22	12587
22	11723
22	2339
22	26471
22	34704
22	37248
22	12126
22	44520
22	59601
21	12903
21	27679
21	3499
21	9804
21	11978
21	28287
21	27507
21	16922
21	27875
21	21869
20	11749
20	7781
20	32961
20	3418
20	16780
20	1819
20	3255
20	5817
20	15250
20	10901
20	1616
20	30659
19	52186
19	28769
19	3618
19	1884
19	21424
19	7432
19	27135
19	21053
19	2371
19	4956
19	17404
19	33503
18	12028
18	1312
18	4768
18	15411
18	10583
18	1663
18	6167
18	11023
18	23518
18	1839
18	6081
18	14605
18	12273
18	31945
17	24670
17	34409
17	9727
17	2386
17	10026
17	28952
17	2526
17	10837
17	34519
17	41116
17	36164
16	11268
16	3499
16	9573
16	33239
16	3702
16	7921
16	4240
16	7655
16	1790
16	2055
16	1753
16	11189
16	10002
16	20947
16	5609
16	10184
15	36744
15	1205
15	2600
15	25500
15	1894
15	26581
15	5557
15	2689
15	17589
15	2070
15	2602
15	10783
15	2337
15	17357
15	14636
14	1518
14	3473
14	2516
14	32388
14	22749
14	26363
14	3095
14	5485
14	34340
14	5228
14	14533
14	27626
14	1933
14	2926
14	28034
14	24378
14	40393
14	1430
14	22156
13	29707
13	13519
13	6801
13	2287
13	32467
13	50627
13	29833
13	1680
13	5898
13	6265
13	15308
13	14269
13	8657
13	12958
13	15245
13	20706
13	32087
13	21557
13	12904
13	3262
13	28539
12	2756
12	8258
12	8336
12	2915
12	2422
12	3417
12	2492
12	8271
12	11781
12	17651
12	6472
12	3067
12	2258
12	9608
12	15441
12	24654
12	3212
12	27694
12	2813
12	12114
12	18847
12	12420
12	1367
12	6351
12	11656
12	16470
11	8668
11	1330
11	43485
11	31445
11	19927
11	28786
11	9335
11	1984
11	3111
11	1954
11	5431
11	8604
11	19740
11	13637
11	21960
11	5421
11	9210
11	7289
11	10467
11	13771
11	5458
11	22344
11	11117
11	6652
11	40223
11	4853
10	11067
10	2156
10	5093
10	40747
10	1927
10	10284
10	6170
10	10623
10	8559
10	7724
10	3827
10	17278
10	3528
10	21087
